"SITECODE","ORG_NAME","ORG_EMAIL","MANAG_CONSERV_MEASURES","MANAG_PLAN","MANAG_PLAN_URL","MANAG_STATUS","ORG_LOCATORNAME","ORG_DESIGNATOR","ORG_ADMINUNIT","ORG_POSTCODE","ORG_POSTNAME","ORG_ADRESS","ORG_ADDRESS_UNSTRUCTURED"
"IT8050030","Regione Campania","","D.G.R. n. 2295/2007","Piano di gestione","","Y","","","","","","",""
"IT9110026","Regione Puglia","","","","","N","","","","","","",""
"IT9130003","Regione Puglia","","","","","N","","","","","","",""
"IT9140006","Regione Puglia","","","","","N","","","","","","",""
"IT9140008","Ente Parco","","D.G.R. n. 1097 del 26/4/2010 ","Piano di gestione del SIC/ZPS Torre Guaceto ","www.regione.puglia.it","Y","","","","","","",""
"IT9150002","Regione Puglia - Sezione Tutela e Valorizzazione del Paesaggio - Servizio Parchi e Tutela Biodiversità","servizio.assettoterritorio@pec.rupar.puglia.it","R.R. 6/2016","","","N","","","","","","",""
"IT9150006","Regione Puglia","","R.R. 6/2016","","","N","","","","","","",""
"IT9150013","Regione Puglia","","","","","N","","","","","","",""
"IT9150023","Regione Puglia","","DGR 6 agosto 2010 n.1871","Piani di gestione dei SIC della Provincia di Lecce","www.regione.puglia.it","Y","","","","","","",""
"IT9210185","Parco Nazionale del Pollino","","","","","P","","","","","","",""
"IT9220090","La Riserva Statale è gestita dal  Corpo Forestale dello Stato - Ufficio Territoriale per la Biodiversità -Potenza.","","","","","P","","","","","","",""
"IT9310001","Ente Parco Nazionale del Pollino. ","ente@parcopollino.it","in preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310009","Ente Parco Nazionale del Pollino","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310020","Ente Parco Nazionale Pollino","ente@parcopollino.it","In preparazione","","","N","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310025","Ente Parco Nazionale Pollino","ente@parcopollino.it","In preparazione (per la parte ricadente all'interno del Parco del Pollino)","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza –Provincia di Cosenza, 2007.","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Complesso monumentale Santa Maria della Consolazione. 85048 Rotonda (PZ).Tel.0973/669311"
"IT9310038","Provincia di Cosenza","info@provincia.cs.it","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza. Provincia di Cosenza (2007).","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Piazza XV Marzo n. 5  87100 CosenzaTel: +39098426800"
"IT9310041","Provincia di Cosenza","info@provincia.cs.it","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza. ","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","","Piazza XV Marzo n. 5  87100 CosenzaTel: +39098426800"
"IT9310049","","","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza. ","www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","",""
"IT9310055","Ente Riserve naturali del Lago di Tarsia e della Foce del fiume Crati","info@riservetarsiacrati.it","in preparazione","","","N","","","","","","","Via Garibaldi n. 4, Palazzo Rossi, Tarsia (CS) Tel.0981952185"
"IT9310079","Ente Parco Nazionale della Sila","parcosila@pec.it","MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA. Luglio 2010.","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9320103","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","da proporre","Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone (2009)","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=195&Itemid=81","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT9320122","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","da proporre","Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone (2009).","www.regione.calabria.it/ambiente/allegati/piani_di_gestione/crotone/relazioni/pdg_crotone.pdf","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT9320123","Provincia di Crotone","protocollogenerale@pec.provincia.crotone.it","da proporre","Piano di Gestione dei Siti Natura 2000, nella Provincia di Crotone, di cui al D.M. 03.04.2000, individuati ai sensi delle Direttive 92/43/CEE e 79/409/CEE. Provincia di Crotone (2009).","www.regione.calabria.it/ambiente/allegati/piani_di_gestione/crotone/relazioni/pdg_crotone.pdf","Y","","","","","","","Via M. Nicoletta, 28 88900 CrotoneTel. +39 0962952111"
"IT9330114","Ente Parco Nazionale della Sila","parcosila@pec.it","AA.VV. 2010 - MISURE DI CONSERVAZIONE PER I SITI NATURA 2000 INCLUSI NEL PARCO NAZIONALE DELLA SILA. Relazione tecnico-scientifica. Parco Nazionale della Calabria.","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9330116","Ente Parco Nazionale della Sila","parcosila@pec.it","Accesso regolamentato dall' art. 2 del Decreto costitutivo. Prevista la costruzione di un centro visitatori. Misure di Conservazione per i siti Natura 2000 inclusi nel Parco Nazionale della Sila. Ente Parco Nazionale della Sila. Luglio 2010. ","","","N","","","","","","","Via Nazionale, 87055 Lorica San Giovanni in Fiore (CS) Tel. 0984 537109"
"IT9310047","","","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza. ","","Y","","","","","","",""
"IT9310052","","","da proporre","Piano di Gestione dei Siti di Importanza Comunitaria (SIC), Nazionale (SIN) e Regionale (SIR) della Rete “Natura 2000” nella Provincia di Cosenza – Relazioni e allegati cartografici. Provincia di Cosenza. ","http://www.regione.calabria.it/ambiente/index.php?option=com_content&task=view&id=191&Itemid=79","Y","","","","","","",""
