id,name,highway,public_tra,operator,shelter,bus,route_ref,network,bench,wheelchair,amenity,railway,website,train,covered,line,route,alt_name,ferry,contact_we,opening_ho,contact_ph,email,contact_mo,station,aeroway,contact_em,contact_fa,official_n,lat,lon,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_PCM,DEN_PROV,DEN_CM,DEN_PCM,SIGLA,Shape_Leng,Shape_Area
29538776.00000,A Ski,,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4222581,11.676957,2,4,22,0,22,Trento,-,Trento,TN,642828.09583,6206864085.34000
29541476.00000,Adler to Bolzano,,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4166644,11.5692984,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
80035502.00000,Gomagoi,bus_stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5755163,10.539957,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
80051589.00000,Moos i. P. / Moso in P. Platterköfel,bus_stop,stop_position,,,yes,,,,,,,,,,,,,,,,,,,,,,,,46.8832693,11.1466817,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
80051781.00000,Moos i. P. Oberglanegg Kehre / Moso in P. Tornante Oberplanegg,,stop_position,,,yes,,,,,,,,,,,,,,,,,,,,,,,,46.8821266,11.1122115,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
89128018.00000,"Kastelbell, Gewerbezone Galsaun",,stop_position,,,yes,,,,,,,,,,,,,,,,,,,,,,,,46.6343054,10.9238713,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
94907799.00000,Laas - Lasa,,stop_position,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,46.6182367,10.6953757,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
94907802.00000,Schluderns-Glurns - Sluderno-Glorenza,,stop_position,STA,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,46.664817,10.5815946,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
96050781.00000,Staben - Stava,,stop_position,STA,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,46.6453158,10.9661666,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
143440972.00000,Col,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.559867,11.7623762,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
244094208.00000,Plankenstein,,stop_position,"SASA;SAD",,yes,,Verkehrsverbund Südtirol,,,,,,,,,,,,,,,,,,,,,,46.6681895,11.1655212,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
245787026.00000,Brenner - Brennero,,stop_position,,,,,,,,,,,yes,,,,,,,,,,,,,,,,47.0024421,11.50543,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
248009842.00000,Mesiano / Facoltà Ingegneria,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,46.0671184,11.1394574,2,4,22,0,22,Trento,-,Trento,TN,642828.09583,6206864085.34000
248049459.00000,Valsugana / Corallo,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,46.0692888,11.1364461,2,4,22,0,22,Trento,-,Trento,TN,642828.09583,6206864085.34000
248049727.00000,Mesiano / Facoltà Ingegneria,bus_stop,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,46.0672292,11.1396044,2,4,22,0,22,Trento,-,Trento,TN,642828.09583,6206864085.34000
