TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,900879,900879,1,Monte San Giorgio,Monte San Giorgio,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),0,0,0,10.8934,11.2299329213,Not Applicable,0,Inscribed,2003,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,"CH-TI;IT-25","CHE;ITA","CHE;ITA"
Polygon,365015,365015,1,Pelagos Sanctuary For The Conservation Of Marine Mammals,Pelagos Sanctuary For The Conservation Of Marine Mammals,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,87500,87713.92879,87500,87713.9287776,Not Reported,0,Adopted,2001,Collaborative governance,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,"FRA;ITA;MCO","FRA;ITA;MCO"
Polygon,6022,6022,1,Parco naturale delle Alpi Marittime,Parco naturale delle Alpi Marittime,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,278.32,279.107810714,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6027,6027,1,Parco naturale Orsiera - Rocciavrè,Parco naturale Orsiera - Rocciavrè,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,109.47,109.495243013,Not Applicable,0,Designated,1980,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6028,6028,1,Parco naturale delle Capanne di Marcarolo,Parco naturale delle Capanne di Marcarolo,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,82.16,95.3156058512,Not Applicable,0,Designated,1979,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6036,6036,1,Parco naturale Monte Corno,Parco naturale Monte Corno,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,66.6,65.0930197908,Not Applicable,0,Designated,1980,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6041,6041,1,Parco naturale regionale dei Monti Lucretili,Parco naturale regionale dei Monti Lucretili,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,182.04,182.998760503,Not Applicable,0,Designated,1989,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6045,6045,1,Parco regionale del Matese,Parco regionale del Matese,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,333.27,334.021572211,Not Applicable,0,Designated,1993,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6047,6047,1,Parco regionale Monti Picentini,Parco regionale Monti Picentini,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,590.38,585.607060864,Not Applicable,0,Designated,1993,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,6048,6048,1,Parco naturale di Gallipoli Cognato - Piccole Dolomiti Lucane,Parco naturale di Gallipoli Cognato - Piccole Dolomiti Lucane,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,270.27,270.920923877,Not Applicable,0,Designated,1997,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
