region,code,name,zsc,area,length,lon,lat
Piemonte,IT1110001,Rocca di Cavour,sì,76,0,7.3780,44.7810
Piemonte,IT1110002,Collina di Superga,sì,747,0,7.7706,45.0697
Piemonte,IT1110004,Stupinigi,sì,1731,0,7.5920,44.9810
Piemonte,IT1110005,Vauda,sì,2654,0,7.6509,45.2503
Piemonte,IT1110006,Orsiera Rocciavré,sì,10956,0,7.1330,45.0617
Piemonte,IT1110007,Laghi di Avigliana,sì,414,0,7.3861,45.0652
Piemonte,IT1110008,Madonna della Neve sul Monte Lera,sì,62,0,7.4678,45.1778
Piemonte,IT1110009,"Bosco del Vaj e ""Bosc Grand""",sì,1347,0,7.9289,45.1114
Piemonte,IT1110010,Gran Bosco di Salbertrand,sì,3712,0,6.9222,45.0581
Piemonte,IT1110013,Monti Pelati e Torre Cives,sì,145,0,7.7433,45.4158
Piemonte,IT1110014,Stura di Lanzo,sì,688,0,7.5647,45.2203
Piemonte,IT1110015,Confluenza Po - Pellice,sì,146,0,7.5610,44.8110
Piemonte,IT1110016,Confluenza Po - Maira,sì,178,0,7.6460,44.8380
Piemonte,IT1110017,Lanca di Santa Marta (Confluenza Po - Banna),sì,164,0,7.6956,44.9514
Piemonte,IT1110018,Confluenza Po - Orco - Malone,sì,312,0,7.8661,45.1839
Piemonte,IT1110019,Baraccone (confluenza Po - Dora Baltea),sì,1574,0,8.0411,45.1781
Piemonte,IT1110020,Lago di Viverone,sì,926,0,8.0311,45.4178
Piemonte,IT1110021,Laghi di Ivrea,sì,1599,0,7.8933,45.4892
Piemonte,IT1110022,Stagno di Oulx,sì,84,0,6.8172,45.0361
Piemonte,IT1110024,Lanca di San Michele,sì,228,0,7.6783,44.8675
Piemonte,IT1110025,Po morto di Carignano,sì,503,0,7.6967,44.8964
Piemonte,IT1110026,Champlas - Colle Sestriere,sì,1050,0,6.8497,44.9519
Piemonte,IT1110027,Boscaglie di Tasso di Giaglione (Val Clarea),sì,340,0,6.9592,45.1589
Piemonte,IT1110029,Pian della Mussa (Balme),sì,3554,0,7.1544,45.2972
Piemonte,IT1110030,Oasi xerotermiche della Val di Susa-Orrido di Chianocco,sì,1250,0,7.1208,45.1514
Piemonte,IT1110031,Valle Thuras,sì,978,0,6.8594,44.8936
Piemonte,IT1110032,Pra - Barant,sì,4120,0,7.0594,44.7558
Piemonte,IT1110033,Stazioni di Myricaria germanica,sì,63,0,7.1412,44.8034
Piemonte,IT1110034,Laghi di Meugliano e Alice,sì,283,0,7.7850,45.4560
Piemonte,IT1110035,Stagni di Poirino - Favari,sì,1844,0,7.7920,44.9230
Piemonte,IT1110036,Lago di Candia,sì,335,0,7.9089,45.3281
Piemonte,IT1110038,Col Basset (Sestriere),sì,271,0,6.8744,44.9822
Piemonte,IT1110039,Rocciamelone,sì,1966,0,7.0906,45.1744
Piemonte,IT1110040,Oasi xerotermica di Oulx - Auberge,sì,1070,0,6.8328,45.0553
Piemonte,IT1110042,Oasi xerotermica di Oulx - Amazas,sì,339,0,6.8222,45.0192
Piemonte,IT1110043,Pendici del Monte Chaberton,sì,329,0,6.7775,44.9572
Piemonte,IT1110044,Bardonecchia - Val Fredda,sì,1686,0,6.8047,45.0986
Piemonte,IT1110045,Bosco di Pian Prà (Rorà),sì,93,0,7.1917,44.7969
Piemonte,IT1110047,Scarmagno - Torre Canavese (morena destra d'Ivrea),sì,1876,0,7.8147,45.3681
Piemonte,IT1110048,Grotta del Pugnetto,sì,19,1,7.4136,45.2728
Piemonte,IT1110049,Les Arnaud e Punta Quattro Sorelle,sì,1328,0,6.6636,45.0817
Piemonte,IT1110050,Mulino Vecchio (fascia fluviale del Po),sì,414,0,7.9710,45.2560
Piemonte,IT1110051,Peschiere e Laghi di Pralormo,sì,141,0,7.8290,44.8287
Piemonte,IT1110052,Oasi xerotermica di Puys - Beaulard,sì,468,0,6.7356,45.0469
Piemonte,IT1110053,Valle della Ripa (Argentera),sì,327,0,6.9156,44.8919
Piemonte,IT1110055,Arnodera - Colle Montabone,sì,112,0,7.0558,45.1292
Piemonte,IT1110057,Serra di Ivrea,sì,4572,0,7.9489,45.4900
Piemonte,IT1110058,Cima Fournier e Lago Nero,sì,640,0,6.7936,44.9039
Piemonte,IT1110061,Lago di Maglione,sì,17,0,7.9950,45.3450
Piemonte,IT1110062,Stagno Interrato di Settimo Rottaro,sì,22,0,7.9770,45.4010
Piemonte,IT1110063,Boschi e Paludi di Bellavista,sì,95,0,7.8640,45.4420
Piemonte,IT1110064,Palude di Romano Canavese,sì,35,0,7.8584,45.3953
Piemonte,IT1110079,La Mandria,sì,3379,0,7.5739,45.1631
Piemonte,IT1110080,Val Troncea,sì,10130,0,6.9789,44.9758
Piemonte,IT1110081,Monte Musiné e Laghi di Caselette,sì,1524,0,7.4678,45.1208
Piemonte,IT1110084,Boschi umidi e stagni di Cumiana,,23,0,7.3986,44.9570
Piemonte,IT1120002,Bosco della Partecipanza di Trino,sì,1075,0,8.2547,45.2250
Piemonte,IT1120003,Monte Fenera,sì,3348,0,8.3467,45.7028
Piemonte,IT1120004,Baraggia di Rovasenda,sì,1178,0,8.3010,45.5780
Piemonte,IT1120005,Garzaia di Carisio,sì,103,0,8.2003,45.4225
Piemonte,IT1120006,Val Mastallone,sì,1882,0,8.1594,45.9164
